"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"Nkeihef9","Alice-Miranda on Holiday","Jacqueline","Harvey","9781864719840","","http://cdn.bookfish.net.au/covers/9781864719840/small.jpg","304","","Alice-Miranda has survived her first term at Winchesterfield-Downsfordvale. Who would have thought that the terrifying Miss Grimm would become so happy and kind? And why is Jacinta Headlington-Bear, the school's second best tantrum thrower, joining Alice-Miranda's family for term break? It seems that something strange is going on with Jacinta's family, something Jacinta knows nothing about. The two girls are looking forward to a relaxing holiday. But a stranger has been snooping about, asking retired staff all kinds of questions about Alice-Miranda's home, Highton Hall. There's been talk of secrets, and hidden passageways. Jacinta and Alice-Miranda might have a more exciting holiday than they were expecting.

","12","18","13","10","13","0","0","1","0","1","1","0","0"
"CqaGOreB","Alicorn: Magic, Monsters, Mystery and Mayhem - Just Beneath Your Feet!","Frank ","Gauntlett","9781742579634","http://cdn.bookfish.net.au/covers/9781742579634/default.jpg","http://cdn.bookfish.net.au/covers/9781742579634/thumb.jpg","245","","When the Old World stopped believing in good Elves, Yetis, Fairies, Centaurs & such, those magical 'mythological' creatures established a comfortable Village colony in huge caverns beneath the Australian outback. But the battle between good and evil never ends. The Bad Guys led by Spindox Corporation's sinister CEO Nick Unseely are massing and moving out of their huge glass pyramid headquarters rising from the Australian Bush; A terrifying Hag is sent to steal the Good Guys' powerful relic a real Unicorn horn, an Alicorn.","15","1","15","11","17","1","0","1","0","0","0","0","1"
"Ywyz0kMk","Alien Escape","Geronimo","Stilton","9780545646505","","http://cdn.bookfish.net.au/covers/9780545646505/small.jpg","128","","**Geronimo Stilton is out of this world in an all-new spin-off series!**

Meet Geronimo Stiltonix: He is a spacemouse -- the Geronimo Stilton of a parallel universe! He is captain of the spaceship _MouseStar 1_. While flying through the cosmos he visits distant planets and meets crazy aliens. His adventures are out of this world!

Geronimo Stiltonix's spaceship is in danger of exploding! The only solution is to replace the engine's batteries by tracking down a rare element. When a group of mysterious aliens claim they can help, Geronimo is relieved. But are the aliens as friendly as they seem?","8","9","8","15","14","0","0","0","1","1","1","0","1"
"X65LF0r1","All That Pikachu! Animanga","Hideki","Sonoda","142150927X","","http://cdn.bookfish.net.au/covers/142150927X/small.jpg","104","","Pikachu and his Pokemon friends first go on vacation to a Pokemon-only island - which is not as restful as it should be - and then go exploring underground after they accidentally fall through a hole.","7","7","10","10","10","0","0","0","0","0","0","0","0"
"EJmQizeq","All the Bright Places ","Jennifer","Niven","","http://cdn.bookfish.net.au/covers/9780385755887/default.jpg","http://cdn.bookfish.net.au/covers/9780385755887/small.jpg","400","","Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister?s recent death. When Finch and Violet meet on the ledge of the bell tower at school, it?s unclear who saves whom. And when they pair up on a project to discover the ?natural wonders? of their state, both Finch and Violet make more important discoveries: It?s only with Violet that Finch can be himself?a weird, funny, live-out-loud guy who?s not such a freak after all. And it?s only with Finch that Violet can forget to count away the days and start living them. But as Violet?s world grows, Finch?s begins to shrink.","20","20","20","10","1","0","0","1","0","0","0","0","1"
"kcrK2NZG","Amelia the Singing Fairy","Daisy.","Meadows","9781408312919","","http://cdn.bookfish.net.au/covers/9781408312919/small.jpg","80","","Rachel and Kirsty must find Amelia's magic star. Without it, nobody can sing in tune and the auditions for the Tippington Variety Show will be a disaster! Could the badly behaved, green-footed band Thrillz and Chillz have something to do with the missing star?

","5","2","10","9","12","0","0","0","1","1","0","0","1"
"mGJgiphh","An Excellent Invention","M.C","Badger","9781742976259","","http://cdn.bookfish.net.au/covers/9781742976259/small.jpg","208",""," **How can the Tinklers manage school, with all of their Tinkler responsibilities?**  
   
   
 When Mila and Marcus Tinkler get a letter saying they have to go to school, it sounds impossible. Who will feed the pigeons? Who will look after Turtle? And how will Mila ever get out of bed on time? Marcus needs a plan, and fast!
","8","18","16","12","16","1","0","0","1","1","0","0","1"
"7rINaGCD","An Unexpected Arrival","Jess","Black; Charlotte Whitby (Illustrator)","9781742753324","","http://cdn.bookfish.net.au/covers/9781742753324/small.jpg","96","","A visit to a farm yields an exciting opportunity for Cassie and Ben. Cassie and Ben accompany Dr. Joe on an RSPCA farm assessment visit to make sure the pigs and the chickens are being looked after properly. What the friends don't expect to do is help out with an unexpected arrival.","7","20","14","11","5","1","0","0","1","1","0","0","0"
"7gjDQhec","And the Band Played Waltzing Matilda","Eric; Whatley","Bogle","9781743317051","","http://cdn.bookfish.net.au/covers/9781743317051/small.jpg","464","","Seventy-three thousand convicts were transported to the British penal colony of Van Diemen's Land in the first half of the nineteenth century. They played a vital role in the building of the settlements, as well as the runningof the newly established colony.

 
 

Simon Barnard's _A-Z of Convicts in Van Diemen's Land_ is a rich and compelling account of the lives of the men, women and children who were transported to Tasmania for crimes ranging from stealing bread to poisoning family members. Their sentences, punishments, achievements and suffering make for fascinating reading.

 
 

And the spectacular illustrations, each one carefully drawn in meticulous detail from contemporary records, bring this extraordinary history to life.

","15","18","18","5","15","1","0","0","0","0","0","1","1"
"WOJq8EOd","Angelica the Angel Fairy","Daisy","Meadows","9781408316887","","http://cdn.bookfish.net.au/covers/9781408316887/small.jpg","176","","Angelica the angel fairy makes sure we all treat each other kindly at Christmas time. But when Jack Frost steals her magic items, everyone from Brownies to the residents of an old folks' home start acting up! Can Kirsty and Rachel restore order in time for Christmas?

","7","5","10","10","11","0","0","1","0","1","0","0","1"
"TWGsnrfC","Angels Forever","Meredith.","Badger","9781921288302","","http://cdn.bookfish.net.au/covers/9781921288302/small.jpg","90","","Is there life after Angels? Annabelle is helping out with organising the awards night for the challenge - everyone is excited about who is going to win! But now that the challenge is over are the Angels still a team?

","8","6","10","10","11","1","0","0","1","1","0","0","1"
"KIjLetLw","Animal Academy : Hakobune Hakusho Vol. 2","Moyamu.","Fujino","9781427810960","","http://cdn.bookfish.net.au/covers/9781427810960/small.jpg","0","","Fune and friends are settling in to their classes and dorm life, but there are plenty of surprises in store as Fune learns more about the strange school rule, as well as some of its more mysterious students.","10","10","10","10","10","0","0","0","0","0","0","0","0"
"xGWjw9AG","Animal Planet","Justin","D`Ath","9780143307310","","http://cdn.bookfish.net.au/covers/9780143307310/small.jpg","238","","An electrifying new series from Justin D'Ath, author of the bestselling Extreme Adventures.Colt Lawless is on the run, suddenly famous, and more than a little superhuman. But can he save the last animals on earth?The deadly rat flu virus has changed - humans are catching it and nobody is sure why.Officer Katt is trying to blame it on the Lost World Circus and it's up to Colt to prove her wrong. But he and Birdy are trapped in the sewers, and the man who holds the key to it all is being held prisoner at DoRFE Headquarters. Is this the end of the road -not just for the circus, but for all of humankind?","12","9","17","11","20","0","0","1","0","1","0","0","1"
"VV5Z6ra8","Another Life","Keren","David","9781847803801","","http://cdn.bookfish.net.au/covers/9781847803801/small.jpg","224","","Weir's back and even weirder! But it's not just Weir who's weird, it's his whole family. Not even their pet bird is normal! How will he keep cool with a school trip to the zoo coming up AND Bella's birthday party?! It won't be easy . . . but it will be funny!

","15","18","20","10","15","0","0","0","0","1","1","0","1"
"mw6TGDOP","Antonio S. and the Mysterious Theodore Guzman","Odo","Hirsch; Andrew McLean (Illustrator)","1864484098","","http://cdn.bookfish.net.au/covers/1864484098/small.jpg","204","","Antonio S. is a boy who knows all sorts of things. Scarrabo the Magnificent is a magician. Professor Kettering is a doctor. They live together at the top of a grand old house built long ago for a duke. But who is Theodore Guzman, the secretive old man who lives downstairs? What mysterious things does he know? It takes someone like Antonio S to find out. In his first book for children, Odo Hirsch has written a wonderfully warm and eccentric story about a boy who explores a secret passage that leads to the very heart of the house where the magical world of Theodore Guzman comes to life.","10","10","10","10","10","0","0","1","0","0","0","0","0"
"AWImOABk","Anya the Cuddly Creatures Fairy","Daisy.","Meadows","9781408312957","","http://cdn.bookfish.net.au/covers/9781408312957/small.jpg","80","","Rachel and Kirsty are so excited to spend the week at the Golden Palace. They're going to live like real princesses! But before long, they discover that something is terribly wrong. The Princess Fairies' magic tiaras are missing! Without them, both Fairyland and the human world are a royal mess.Ö","8","8","10","10","12","0","0","0","1","1","0","0","1"
"lQllGaLo","Aquatan","Mac","Park; Lionel Portier (Illustrator); Melanie Matthews (Illustrator); James Hart (Illustrator)","9781921684081","","http://cdn.bookfish.net.au/covers/9781921684081/small.jpg","80","","When dead fish covered in glowing moss wash up on the beach, Kai knows it's time for battle. Was Kai right to choose the Torpedo Bowshot to battle the water beast? Will it work against toxic jellyfish? Will it be enough to take on a wave attack?

","6","2","12","14","17","1","0","0","1","1","1","0","0"
"rvG9odlb","Aquaterros","Mac.","Park","9781921684302","","http://cdn.bookfish.net.au/covers/9781921684302/small.jpg","80","","Something strange is happening in Beastium. A new mutant beast is filling the water land with rocks. Will Kai and BC be able to battle the new beast with their new gear? Will Kai battle well enough to prove himself a worthy Border Captain?","8","2","12","19","20","1","0","0","1","1","0","0","0"
"vNE5dBgr","Are we having fun yet (hmmm?)","Karen","McCombie; Lydia Monks","9781844280704","","http://cdn.bookfish.net.au/covers/9781844280704/small.jpg","160","","More adventures with Indie Kidd, her animal-mad mum, best-est friends Soph and Fee and geeky (but loveable) step-brother Dylan. When Fee's cat gets run over, Indie thinks she knows exactly how to cheer her best friend up. But a trip to the Animal Rescue Centre goes horribly wrong and Indie realizes that Fee needs a bit more time to get over the loss of her pet.

","10","19","6","10","10","0","0","1","0","1","0","0","0"
"1DOraM4S","Artemis Fowl and the Atlantis Complex","Eoin","Colfer","9780141328041","","http://cdn.bookfish.net.au/covers/9780141328041/small.jpg","336","","Artemis Fowl's criminal ways have finally got the better of him . . . Young Artemis has frequently used high-tech fairy magic to mastermind the most devious criminal activity of the new century. Now, at a conference in Iceland, Artemis has gathered the fairies to present his latest idea to save the world from global warming. But Artemis is behaving strangely - he seems different. Something terrible has happened to him . . . Artemis Fowl has become nice. The fairies diagnose Atlantis Complex that's obsessive compulsive disorder to you and me dabbling in magic has damaged his mind. Fairy ally Captain Holly Short doesn't know what to do. Because the subterranean volcanoes are under attack from vicious robots and Artemis cannot fight them. Can Holly get the real Artemis back before the robot probes destroy every human and life form.","15","2","15","10","14","0","0","1","0","1","1","0","1"
"PQ7CMqgp","Arthur Loses a Friend","Marc","Brown","9780375929748","","http://cdn.bookfish.net.au/covers/9780375929748/small.jpg","0","","Buster goes away for a month, and Arthur becomes sad and confused when he does not receive even one postcard from him.","3","9","9","10","8","0","0","0","0","1","0","0","1"
"jhq1IxVD","Arthur Lost and Found: An Arthur Adventure (Arthur Adventure Series)","Marc","Brown","9780316109123","","http://cdn.bookfish.net.au/covers/9780316109123/small.jpg","0","","When Arthur and Buster try to take the bus to Arthur's swimming lesson, they fall asleep and end up in a strange part of town.","3","10","10","10","10","0","0","0","0","0","0","0","0"
"CuF8QKeQ","Arthur Writes a Story","Marc","Brown (Illustrator)","9780316111645","","http://cdn.bookfish.net.au/covers/9780316111645/small.jpg","32","","The class homework assignment is to write a story, and everyone seems to be writing about something interesting...except Arthur. Will he find something he cares to write about or will his story be a big mess?","3","10","10","10","9","0","0","0","0","1","0","1","1"
"i0Q85qVu","Arthur Writes a Story","Marc","Brown","9780316109161","","http://cdn.bookfish.net.au/covers/9780316109161/small.jpg","0","","Arthur has to write a story as a homework assignment and keeps changing his idea of what to write as he talks to his friends.","2","9","9","11","7","0","0","0","0","1","0","0","1"
